Start time (UTC), 0720 
 Sky conditions, CO-SDNV mostly, occasionally drizzly 
 Other notes, 24-hr sampling period. Reunion Stakes (RS) visited every ~3 hrs. (1) pond @ intersection of stakes 203&205. (2) raised area of SSL@ intersection of stakes 203&206. (3) sediment mounds @intersection of stakes 203&207 (4) part raised SSL- some uneven surface @ intersection of stakes 203&211 
(5) stake 205 (6) vertical grains & crack @ stake 206  (7) pond @ stake 207  (8) stake 211, half uneven surface & level SSL.
Stern (STERN) visited every ~3 hrs. (1 A) clean area from July 5, (1B)  shoveled area from July 5. ~1cm standing water. (2) pond w very holey bottom (3) other end of same pond. w smoother bottom. (4) Dark pond. measurement centered over large white (previously crack). (5A)  clean level bare (SSL) ice on slope (5B) - shoveled off to observe SSL evolution. (6) very blue pond (7) very large tooth-like grains (old drained pond?) at edge of pond 6
ROV transect visited every ~6 hrs (with ROV transmittance & UAV albedo). 
 Ship latitude, 81.45948
 Ship longitude, 1.74546
Position, 1A, 1B,  2,  3,  4, 5A, 5B,  6,  7
Surface type,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 96.0,  NaN,  NaN
Surface thickness (cm),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Notes,                   NaN,                   NaN, windy - small ripples,        medium ripples,         small ripples,                   NaN,                   NaN,         small ripples,                   NaN
Change in incident (%),0.0, 0.0, 0.0, 10.0, 10.0, 0.0, 0.0, 10.0, 10.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7,Albedo8
518,0.765,0.495,0.401,0.389,0.481,0.785,0.746,0.573,0.742
519,0.765,0.495,0.402,0.389,0.480,0.785,0.746,0.573,0.741
520,0.765,0.495,0.402,0.389,0.480,0.785,0.746,0.573,0.741
521,0.765,0.495,0.402,0.389,0.480,0.785,0.746,0.572,0.741
522,0.765,0.495,0.402,0.389,0.480,0.784,0.745,0.572,0.741
523,0.765,0.495,0.402,0.389,0.480,0.784,0.745,0.571,0.740
524,0.765,0.495,0.402,0.389,0.479,0.784,0.745,0.571,0.740
525,0.765,0.494,0.402,0.389,0.479,0.784,0.745,0.571,0.740
526,0.765,0.495,0.402,0.389,0.479,0.784,0.745,0.570,0.740
527,0.765,0.494,0.402,0.388,0.478,0.784,0.745,0.569,0.739
528,0.765,0.494,0.401,0.388,0.478,0.784,0.744,0.569,0.739
529,0.765,0.494,0.401,0.388,0.478,0.783,0.744,0.568,0.739
530,0.765,0.493,0.401,0.388,0.478,0.783,0.744,0.568,0.738
531,0.765,0.493,0.401,0.387,0.477,0.783,0.743,0.567,0.738
532,0.765,0.493,0.401,0.387,0.477,0.783,0.743,0.566,0.738
533,0.765,0.493,0.400,0.387,0.476,0.783,0.743,0.566,0.737
534,0.765,0.493,0.400,0.386,0.476,0.782,0.743,0.565,0.737
535,0.765,0.493,0.400,0.386,0.475,0.782,0.742,0.564,0.736
536,0.765,0.492,0.399,0.386,0.475,0.782,0.742,0.564,0.736
537,0.765,0.492,0.399,0.385,0.474,0.782,0.742,0.563,0.736
538,0.764,0.492,0.399,0.385,0.474,0.782,0.741,0.562,0.735
539,0.764,0.492,0.398,0.385,0.473,0.781,0.741,0.561,0.735
540,0.765,0.492,0.398,0.384,0.473,0.781,0.740,0.561,0.735
541,0.764,0.491,0.397,0.384,0.472,0.781,0.740,0.560,0.734
542,0.764,0.491,0.397,0.383,0.471,0.780,0.740,0.559,0.734
543,0.764,0.491,0.396,0.383,0.471,0.780,0.739,0.558,0.733
544,0.764,0.490,0.396,0.382,0.470,0.780,0.739,0.557,0.733
545,0.764,0.490,0.395,0.382,0.470,0.780,0.739,0.556,0.732
546,0.764,0.490,0.395,0.381,0.469,0.779,0.738,0.555,0.732
547,0.764,0.489,0.394,0.380,0.468,0.779,0.738,0.554,0.731
548,0.764,0.489,0.393,0.380,0.467,0.779,0.737,0.553,0.730
549,0.764,0.488,0.392,0.379,0.466,0.778,0.737,0.552,0.730
550,0.764,0.488,0.392,0.378,0.465,0.778,0.736,0.551,0.729
551,0.763,0.488,0.391,0.378,0.465,0.777,0.736,0.550,0.729
552,0.763,0.488,0.391,0.377,0.464,0.777,0.735,0.549,0.728
553,0.763,0.487,0.390,0.377,0.463,0.777,0.735,0.548,0.728
554,0.763,0.487,0.389,0.376,0.462,0.776,0.734,0.547,0.727
555,0.763,0.486,0.389,0.375,0.462,0.776,0.734,0.546,0.727
556,0.763,0.486,0.388,0.375,0.461,0.776,0.733,0.545,0.726
557,0.763,0.486,0.387,0.374,0.460,0.775,0.733,0.544,0.726
558,0.763,0.485,0.387,0.374,0.459,0.775,0.732,0.543,0.725
559,0.762,0.485,0.386,0.373,0.459,0.775,0.732,0.542,0.724
560,0.762,0.485,0.385,0.372,0.458,0.774,0.731,0.541,0.724
561,0.762,0.484,0.384,0.372,0.457,0.774,0.731,0.540,0.723
562,0.762,0.484,0.384,0.371,0.456,0.774,0.730,0.538,0.723
