Start time (UTC), 1432 
 Sky conditions, CO-SDNV 
 Other notes, ASD only. RS (not 5 due to freshwater lens drilling) + BP for 1st time. Stern obs w/ NIR/microCT @ 1 5 + 7. 5A and 5B nearly indistinguishable visibly.  
 Ship latitude, 81.22083
 Ship longitude, 0.27618
Position, 1A, 1B,  2,  3,  4, 5A, 5B,  6,  7
Surface type,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Surface thickness (cm),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Notes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Change in incident (%),0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7,Albedo8
595,0.704,0.391,0.303,0.315,0.366,0.742,0.735,0.454,0.723
596,0.704,0.390,0.301,0.312,0.363,0.742,0.734,0.451,0.722
597,0.704,0.388,0.298,0.310,0.360,0.741,0.734,0.448,0.721
598,0.704,0.387,0.295,0.307,0.357,0.740,0.733,0.445,0.720
599,0.703,0.386,0.293,0.304,0.353,0.740,0.733,0.442,0.719
600,0.703,0.385,0.290,0.302,0.350,0.740,0.732,0.439,0.718
601,0.703,0.384,0.288,0.299,0.347,0.739,0.731,0.437,0.717
602,0.703,0.383,0.286,0.297,0.345,0.739,0.731,0.435,0.716
603,0.702,0.382,0.284,0.296,0.343,0.738,0.731,0.433,0.715
604,0.702,0.381,0.282,0.294,0.341,0.738,0.730,0.431,0.715
605,0.702,0.381,0.281,0.293,0.340,0.737,0.730,0.429,0.714
606,0.702,0.380,0.280,0.292,0.339,0.737,0.729,0.428,0.713
607,0.702,0.380,0.279,0.290,0.338,0.737,0.729,0.427,0.713
608,0.702,0.379,0.278,0.289,0.336,0.736,0.728,0.425,0.712
609,0.701,0.379,0.277,0.288,0.335,0.736,0.728,0.424,0.711
610,0.701,0.378,0.276,0.287,0.334,0.735,0.728,0.423,0.711
611,0.701,0.378,0.274,0.286,0.333,0.735,0.727,0.422,0.710
612,0.701,0.377,0.273,0.285,0.332,0.735,0.726,0.420,0.710
613,0.701,0.376,0.272,0.283,0.331,0.734,0.726,0.419,0.709
614,0.700,0.376,0.271,0.282,0.330,0.734,0.726,0.418,0.708
615,0.700,0.375,0.270,0.281,0.328,0.733,0.725,0.416,0.707
616,0.700,0.375,0.269,0.280,0.327,0.733,0.725,0.415,0.707
617,0.700,0.374,0.268,0.279,0.326,0.732,0.724,0.414,0.706
618,0.700,0.374,0.267,0.277,0.325,0.732,0.724,0.412,0.705
619,0.699,0.373,0.265,0.276,0.324,0.731,0.723,0.411,0.705
620,0.699,0.373,0.264,0.275,0.323,0.731,0.722,0.409,0.704
621,0.699,0.372,0.263,0.274,0.321,0.730,0.722,0.408,0.703
622,0.699,0.371,0.262,0.273,0.320,0.730,0.721,0.407,0.702
623,0.699,0.371,0.261,0.271,0.319,0.729,0.721,0.405,0.701
624,0.698,0.370,0.260,0.270,0.318,0.729,0.721,0.404,0.701
625,0.698,0.369,0.259,0.269,0.317,0.729,0.720,0.402,0.700
626,0.698,0.369,0.258,0.268,0.316,0.728,0.719,0.401,0.699
627,0.697,0.368,0.256,0.266,0.314,0.727,0.718,0.400,0.699
628,0.697,0.368,0.255,0.265,0.313,0.727,0.718,0.398,0.698
629,0.697,0.367,0.254,0.264,0.312,0.726,0.717,0.397,0.697
630,0.696,0.366,0.253,0.263,0.310,0.726,0.717,0.395,0.696
631,0.696,0.366,0.252,0.262,0.309,0.725,0.716,0.394,0.695
632,0.696,0.365,0.251,0.261,0.308,0.725,0.715,0.393,0.695
633,0.696,0.365,0.250,0.259,0.307,0.724,0.715,0.391,0.694
634,0.695,0.364,0.249,0.258,0.306,0.724,0.714,0.390,0.693
635,0.695,0.363,0.248,0.257,0.305,0.723,0.714,0.389,0.692
636,0.695,0.363,0.247,0.256,0.304,0.722,0.713,0.387,0.692
