Start time (UTC), 0743 
 Sky conditions, CO-SDV 
 Other notes, Simultaneous with stakes readings (Ian & Debbie). Possible scratch on spectralon plate. Surface slightly frozen (small ponds have thin ice lid). 
 Ship latitude, 79.99248
 Ship longitude, -0.65415
Position, 1, 2, 3, 4, 5, 6
Surface type,NaN,NaN,NaN,NaN,NaN,NaN
Surface thickness (cm),NaN,NaN,NaN,NaN,NaN,NaN
Notes,NaN,NaN,NaN,NaN,NaN,NaN
Change in incident (%),0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5
565,0.791,0.763,0.445,0.508,0.764,0.778
566,0.790,0.763,0.445,0.507,0.764,0.778
567,0.790,0.763,0.444,0.506,0.764,0.778
568,0.790,0.762,0.443,0.505,0.764,0.778
569,0.790,0.763,0.443,0.504,0.763,0.778
570,0.789,0.763,0.442,0.503,0.763,0.777
571,0.789,0.763,0.441,0.502,0.763,0.777
572,0.789,0.763,0.440,0.501,0.763,0.777
573,0.789,0.763,0.439,0.500,0.763,0.776
574,0.789,0.763,0.438,0.499,0.763,0.776
575,0.789,0.763,0.437,0.498,0.763,0.776
576,0.788,0.762,0.436,0.496,0.762,0.776
577,0.788,0.762,0.435,0.495,0.762,0.775
578,0.788,0.762,0.434,0.494,0.762,0.775
579,0.787,0.762,0.432,0.493,0.761,0.775
580,0.787,0.762,0.431,0.491,0.762,0.774
581,0.787,0.762,0.429,0.490,0.761,0.774
582,0.786,0.761,0.428,0.489,0.760,0.774
583,0.786,0.761,0.426,0.487,0.760,0.773
584,0.786,0.761,0.425,0.485,0.760,0.773
585,0.785,0.761,0.423,0.484,0.760,0.772
586,0.785,0.761,0.421,0.482,0.760,0.772
587,0.784,0.761,0.419,0.480,0.759,0.772
588,0.784,0.761,0.418,0.479,0.760,0.771
589,0.784,0.761,0.416,0.477,0.759,0.771
590,0.783,0.760,0.414,0.475,0.758,0.770
591,0.783,0.760,0.412,0.473,0.758,0.769
592,0.783,0.760,0.409,0.471,0.758,0.769
593,0.783,0.760,0.407,0.469,0.758,0.768
594,0.781,0.760,0.405,0.467,0.757,0.767
595,0.781,0.759,0.403,0.465,0.756,0.767
596,0.781,0.759,0.400,0.463,0.756,0.767
597,0.781,0.759,0.397,0.461,0.756,0.766
598,0.781,0.758,0.395,0.459,0.756,0.765
599,0.780,0.758,0.392,0.457,0.756,0.764
600,0.780,0.758,0.389,0.454,0.755,0.764
601,0.779,0.758,0.386,0.452,0.755,0.763
602,0.779,0.758,0.384,0.450,0.754,0.763
603,0.779,0.757,0.382,0.449,0.754,0.762
604,0.778,0.757,0.381,0.447,0.753,0.762
605,0.778,0.756,0.380,0.446,0.754,0.761
606,0.778,0.756,0.378,0.445,0.753,0.761
607,0.777,0.756,0.377,0.444,0.753,0.760
608,0.776,0.756,0.376,0.443,0.753,0.759
609,0.776,0.755,0.374,0.441,0.752,0.759
610,0.776,0.755,0.374,0.441,0.752,0.759
611,0.775,0.755,0.373,0.440,0.752,0.758
612,0.775,0.755,0.371,0.439,0.751,0.758
613,0.775,0.754,0.371,0.438,0.751,0.757
614,0.774,0.754,0.370,0.437,0.751,0.757
615,0.774,0.754,0.369,0.436,0.751,0.756
616,0.774,0.753,0.368,0.435,0.750,0.756
617,0.773,0.753,0.366,0.434,0.749,0.756
618,0.773,0.753,0.366,0.433,0.749,0.755
619,0.772,0.752,0.365,0.432,0.750,0.754
620,0.771,0.752,0.363,0.430,0.749,0.754
621,0.771,0.752,0.362,0.429,0.748,0.753
622,0.771,0.752,0.361,0.428,0.747,0.753
623,0.771,0.752,0.360,0.426,0.748,0.752
624,0.770,0.751,0.359,0.426,0.748,0.752
625,0.769,0.751,0.358,0.425,0.747,0.751
626,0.769,0.751,0.357,0.424,0.746,0.751
627,0.768,0.750,0.356,0.423,0.746,0.750
628,0.768,0.749,0.355,0.422,0.746,0.750
629,0.768,0.749,0.353,0.421,0.745,0.749
630,0.767,0.749,0.352,0.420,0.744,0.748
631,0.767,0.749,0.352,0.418,0.744,0.748
632,0.767,0.748,0.351,0.417,0.744,0.747
633,0.766,0.748,0.349,0.416,0.744,0.747
634,0.766,0.748,0.348,0.416,0.744,0.746
635,0.765,0.747,0.348,0.415,0.743,0.746
636,0.765,0.747,0.347,0.414,0.743,0.745
637,0.764,0.747,0.346,0.413,0.742,0.744
638,0.765,0.747,0.345,0.411,0.742,0.744
639,0.764,0.746,0.343,0.410,0.742,0.743
640,0.763,0.746,0.342,0.410,0.741,0.743
641,0.763,0.745,0.342,0.409,0.741,0.742
642,0.763,0.745,0.341,0.408,0.740,0.741
643,0.762,0.744,0.340,0.407,0.740,0.741
644,0.761,0.744,0.338,0.406,0.740,0.740
645,0.761,0.744,0.337,0.405,0.739,0.740
646,0.761,0.744,0.337,0.405,0.739,0.740
647,0.761,0.743,0.336,0.404,0.738,0.739
648,0.760,0.743,0.334,0.403,0.737,0.738
649,0.759,0.742,0.333,0.402,0.738,0.737
650,0.760,0.742,0.332,0.401,0.737,0.736
651,0.759,0.742,0.332,0.400,0.737,0.736
652,0.759,0.741,0.331,0.399,0.737,0.736
653,0.758,0.741,0.329,0.398,0.736,0.735
654,0.758,0.740,0.329,0.398,0.736,0.734
655,0.757,0.740,0.328,0.397,0.735,0.734
656,0.756,0.741,0.326,0.396,0.735,0.733
657,0.757,0.739,0.325,0.395,0.735,0.733
658,0.756,0.739,0.323,0.394,0.735,0.733
659,0.755,0.739,0.321,0.393,0.735,0.732
660,0.755,0.738,0.321,0.393,0.734,0.732
661,0.755,0.738,0.320,0.392,0.733,0.731
662,0.754,0.738,0.319,0.391,0.733,0.731
663,0.754,0.738,0.318,0.391,0.733,0.729
664,0.754,0.737,0.317,0.390,0.732,0.729
665,0.754,0.737,0.316,0.389,0.732,0.729
666,0.753,0.736,0.316,0.389,0.732,0.729
667,0.753,0.737,0.316,0.388,0.731,0.728
668,0.753,0.736,0.315,0.387,0.731,0.728
669,0.752,0.736,0.314,0.387,0.731,0.727
670,0.751,0.735,0.314,0.387,0.730,0.727
671,0.751,0.735,0.313,0.386,0.730,0.727
672,0.751,0.735,0.313,0.386,0.729,0.726
673,0.751,0.735,0.312,0.385,0.729,0.726
674,0.750,0.734,0.311,0.384,0.729,0.725
675,0.750,0.734,0.310,0.384,0.729,0.725
676,0.749,0.733,0.310,0.383,0.728,0.725
677,0.749,0.733,0.309,0.382,0.728,0.724
