Start time (UTC), 1100 
 Sky conditions, CO-SDNV 
 Other notes, Melinda & Felix. Melting conditions and pond lids melting. SSL present. NSDV. 
 Ship latitude, 88.11375
 Ship longitude, 109.49771
Position,  0,  5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60
Surface type, s, s, s, s, s, p, s, p, p, p, s, s, s
Surface thickness (cm),  0,  1,  3,  1,  1, 20,  1, 36, 36, 16,  5,  4,  0
Notes,                  NaN,                  NaN,                  NaN,                  NaN,                  NaN, thin ice lid on pond,                  NaN,                  NaN,                  NaN,                  NaN,                  NaN,                  NaN,                  NaN
Change in incident (%),10.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7,Albedo8,Albedo9,Albedo10,Albedo11,Albedo12
483,0.516,0.571,0.632,0.595,0.459,0.349,0.737,,0.227,0.424,0.688,0.676,0.632
484,0.516,0.571,0.632,0.594,0.459,0.349,0.737,,0.227,0.424,0.688,0.676,0.631
485,0.516,0.572,0.632,0.594,0.459,0.349,0.737,,0.227,0.424,0.688,0.675,0.632
486,0.516,0.572,0.632,0.594,0.458,0.348,0.737,,0.227,0.423,0.688,0.676,0.632
487,0.516,0.572,0.632,0.594,0.458,0.349,0.737,,0.226,0.423,0.688,0.676,0.632
488,0.516,0.572,0.632,0.594,0.458,0.349,0.737,,0.226,0.424,0.688,0.675,0.632
489,0.516,0.572,0.631,0.594,0.458,0.348,0.736,,0.226,0.422,0.688,0.675,0.631
490,0.516,0.571,0.631,0.594,0.458,0.348,0.736,,0.226,0.422,0.687,0.675,0.631
491,0.516,0.571,0.631,0.594,0.458,0.348,0.736,,0.226,0.422,0.688,0.676,0.631
492,0.515,0.572,0.631,0.594,0.458,0.348,0.736,,0.226,0.422,0.688,0.676,0.631
493,0.515,0.571,0.631,0.593,0.458,0.347,0.735,,0.226,0.423,0.687,0.675,0.631
494,0.515,0.571,0.631,0.593,0.457,0.347,0.736,,0.226,0.422,0.687,0.675,0.630
495,0.515,0.572,0.631,0.594,0.457,0.348,0.736,,0.226,0.422,0.687,0.675,0.631
496,0.515,0.571,0.630,0.594,0.457,0.348,0.736,,0.226,0.422,0.687,0.675,0.631
497,0.515,0.571,0.631,0.594,0.457,0.347,0.736,,0.225,0.422,0.687,0.675,0.631
498,0.515,0.571,0.631,0.593,0.457,0.347,0.736,,0.225,0.422,0.687,0.675,0.630
499,0.514,0.571,0.631,0.593,0.457,0.347,0.736,,0.225,0.422,0.687,0.675,0.630
500,0.514,0.571,0.631,0.594,0.457,0.347,0.736,,0.225,0.421,0.687,0.675,0.631
501,0.514,0.571,0.630,0.594,0.456,0.347,0.735,,0.225,0.421,0.687,0.675,0.630
502,0.514,0.571,0.630,0.593,0.456,0.346,0.735,,0.224,0.421,0.687,0.675,0.630
503,0.514,0.570,0.630,0.593,0.456,0.346,0.735,,0.223,0.421,0.687,0.675,0.630
504,0.514,0.570,0.630,0.593,0.455,0.346,0.735,,0.223,0.420,0.686,0.674,0.630
505,0.513,0.570,0.630,0.593,0.455,0.346,0.735,,0.223,0.421,0.687,0.675,0.630
506,0.513,0.570,0.629,0.592,0.455,0.346,0.735,,0.223,0.421,0.687,0.675,0.629
507,0.513,0.570,0.629,0.592,0.455,0.346,0.736,,0.223,0.420,0.686,0.674,0.629
508,0.513,0.569,0.629,0.592,0.454,0.345,0.735,,0.222,0.420,0.686,0.674,0.630
509,0.513,0.569,0.629,0.592,0.454,0.344,0.734,,0.222,0.420,0.686,0.674,0.629
510,0.513,0.569,0.629,0.592,0.454,0.344,0.734,,0.221,0.419,0.686,0.674,0.629
511,0.513,0.569,0.630,0.592,0.454,0.344,0.735,,0.222,0.419,0.687,0.674,0.629
512,0.513,0.569,0.630,0.592,0.454,0.344,0.735,,0.221,0.419,0.686,0.674,0.629
513,0.512,0.569,0.629,0.592,0.454,0.343,0.734,,0.220,0.419,0.685,0.674,0.628
514,0.513,0.569,0.629,0.591,0.453,0.343,0.734,,0.220,0.419,0.685,0.674,0.628
