Start time (UTC), 1035 
 Sky conditions, CO-SDNV to CO-SDV 
 Other notes, 24-hr sampling period. Reunion Stakes (RS) visited every ~3 hrs. (1) pond @ intersection of stakes 203&205. (2) raised area of SSL@ intersection of stakes 203&206. (3) sediment mounds @intersection of stakes 203&207 (4) part raised SSL- some uneven surface @ intersection of stakes 203&211 
(5) stake 205 (6) vertical grains & crack @ stake 206  (7) pond @ stake 207  (8) stake 211, half uneven surface & level SSL.
Stern (STERN) visited every ~3 hrs. (1 A) clean area from July 5, (1B)  shoveled area from July 5. ~1cm standing water. (2) pond w very holey bottom (3) other end of same pond. w smoother bottom. (4) Dark pond. measurement centered over large white (previously crack). (5A)  clean level bare (SSL) ice on slope (5B) - shoveled off to observe SSL evolution. (6) very blue pond (7) very large tooth-like grains (old drained pond?) at edge of pond 6
ROV transect visited every ~6 hrs (with ROV transmittance & UAV albedo). 
 Ship latitude, 81.51269
 Ship longitude, 2.39455
Position, 1A, 1B,  2,  3,  4, 5A,  6,  7
Surface type, S, P, P, P, P, S, P, S
Surface thickness (cm),  NaN,  NaN, 17.5,  7.5, 24.0,  NaN, 16.0,  3.0
Notes, 14cm snow/SSL. NOTE: incident scan bad/lost? u..., area shoveled 1 week prior - ~1cm water on sur...,                15-20 cm. porous sedimented bottom,                             6-9 cm. bubbly bottom,                   less deep over white band/crack,                                    SSL clean area,                                             16 cm,                                  drained pond SSL
Change in incident (%),350.0, 40.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7
510,,0.503,0.398,0.375,0.491,0.760,0.558,0.721
511,,0.503,0.398,0.375,0.490,0.760,0.557,0.720
512,,0.503,0.398,0.375,0.489,0.760,0.557,0.720
513,,0.503,0.398,0.375,0.489,0.759,0.556,0.720
514,,0.502,0.398,0.375,0.488,0.759,0.555,0.720
515,,0.502,0.398,0.375,0.488,0.759,0.555,0.719
516,,0.502,0.398,0.375,0.488,0.759,0.555,0.719
517,,0.502,0.398,0.375,0.488,0.759,0.554,0.719
518,,0.502,0.399,0.375,0.487,0.759,0.554,0.719
519,,0.502,0.399,0.375,0.487,0.759,0.553,0.718
520,,0.502,0.399,0.375,0.487,0.759,0.553,0.718
521,,0.502,0.399,0.375,0.487,0.758,0.553,0.718
522,,0.502,0.399,0.375,0.487,0.758,0.552,0.718
523,,0.501,0.400,0.375,0.486,0.758,0.552,0.717
524,,0.501,0.400,0.374,0.486,0.758,0.551,0.717
525,,0.501,0.400,0.374,0.486,0.758,0.551,0.717
526,,0.501,0.400,0.374,0.486,0.758,0.550,0.717
527,,0.501,0.400,0.374,0.485,0.757,0.550,0.716
528,,0.501,0.400,0.374,0.485,0.757,0.549,0.716
529,,0.500,0.399,0.374,0.485,0.757,0.549,0.716
530,,0.500,0.399,0.374,0.484,0.757,0.548,0.715
531,,0.500,0.399,0.374,0.484,0.756,0.548,0.715
532,,0.500,0.399,0.373,0.484,0.756,0.547,0.715
533,,0.500,0.399,0.373,0.483,0.756,0.546,0.714
534,,0.499,0.399,0.373,0.483,0.756,0.546,0.714
535,,0.499,0.398,0.373,0.482,0.755,0.545,0.713
536,,0.499,0.398,0.372,0.482,0.755,0.544,0.713
537,,0.499,0.398,0.372,0.481,0.755,0.543,0.712
538,,0.499,0.397,0.372,0.481,0.754,0.543,0.712
539,,0.498,0.397,0.371,0.480,0.754,0.542,0.712
540,,0.498,0.397,0.371,0.480,0.754,0.541,0.711
541,,0.498,0.396,0.371,0.479,0.754,0.540,0.711
542,,0.497,0.396,0.370,0.479,0.753,0.539,0.710
543,,0.497,0.395,0.370,0.478,0.753,0.539,0.710
544,,0.497,0.395,0.369,0.477,0.753,0.538,0.709
545,,0.496,0.394,0.369,0.477,0.752,0.537,0.709
546,,0.496,0.394,0.369,0.476,0.752,0.536,0.708
547,,0.496,0.393,0.368,0.475,0.752,0.535,0.707
548,,0.495,0.392,0.368,0.474,0.751,0.534,0.707
549,,0.495,0.392,0.367,0.473,0.751,0.533,0.706
550,,0.495,0.391,0.366,0.472,0.751,0.532,0.706
551,,0.494,0.391,0.366,0.472,0.750,0.531,0.705
552,,0.494,0.390,0.366,0.471,0.750,0.530,0.704
553,,0.493,0.389,0.365,0.470,0.749,0.529,0.704
554,,0.493,0.389,0.364,0.469,0.749,0.527,0.703
555,,0.493,0.388,0.364,0.469,0.749,0.527,0.703
556,,0.492,0.388,0.363,0.468,0.748,0.526,0.702
557,,0.492,0.387,0.363,0.467,0.748,0.525,0.702
558,,0.492,0.386,0.363,0.467,0.748,0.524,0.701
559,,0.491,0.386,0.362,0.466,0.747,0.523,0.700
560,,0.491,0.385,0.362,0.465,0.747,0.522,0.700
561,,0.491,0.384,0.361,0.464,0.746,0.521,0.699
562,,0.490,0.384,0.361,0.463,0.746,0.520,0.699
563,,0.490,0.383,0.360,0.463,0.746,0.518,0.698
564,,0.489,0.382,0.359,0.462,0.745,0.517,0.697
565,,0.489,0.381,0.359,0.461,0.745,0.516,0.697
566,,0.488,0.380,0.358,0.460,0.744,0.515,0.696
567,,0.488,0.380,0.357,0.459,0.744,0.514,0.695
568,,0.488,0.379,0.357,0.458,0.743,0.513,0.695
569,,0.487,0.378,0.356,0.457,0.743,0.511,0.694
570,,0.486,0.377,0.355,0.456,0.742,0.510,0.693
571,,0.486,0.376,0.354,0.454,0.742,0.509,0.692
572,,0.486,0.375,0.354,0.453,0.742,0.507,0.692
573,,0.485,0.374,0.353,0.452,0.741,0.506,0.691
574,,0.484,0.373,0.352,0.451,0.741,0.504,0.690
575,,0.484,0.371,0.351,0.449,0.740,0.503,0.689
576,,0.483,0.370,0.350,0.448,0.740,0.501,0.688
577,,0.483,0.369,0.349,0.446,0.740,0.500,0.688
578,,0.482,0.368,0.348,0.444,0.739,0.498,0.687
579,,0.481,0.366,0.347,0.443,0.739,0.496,0.686
580,,0.481,0.365,0.346,0.441,0.738,0.494,0.685
581,,0.480,0.363,0.345,0.439,0.738,0.493,0.684
582,,0.479,0.362,0.344,0.437,0.738,0.491,0.683
583,,0.478,0.360,0.343,0.435,0.737,0.489,0.682
584,,0.478,0.359,0.341,0.433,0.737,0.486,0.681
585,,0.477,0.357,0.340,0.430,0.736,0.484,0.680
586,,0.476,0.355,0.339,0.428,0.736,0.482,0.679
587,,0.475,0.353,0.337,0.426,0.735,0.480,0.678
588,,0.474,0.351,0.336,0.423,0.735,0.477,0.677
589,,0.473,0.349,0.334,0.421,0.734,0.475,0.676
590,,0.472,0.347,0.333,0.418,0.733,0.473,0.675
591,,0.471,0.346,0.331,0.415,0.733,0.470,0.673
592,,0.470,0.344,0.330,0.413,0.732,0.467,0.672
593,,0.469,0.342,0.328,0.410,0.732,0.465,0.671
594,,0.468,0.340,0.327,0.407,0.731,0.462,0.670
595,,0.467,0.337,0.325,0.404,0.731,0.459,0.669
596,,0.465,0.335,0.323,0.401,0.731,0.456,0.667
597,,0.464,0.332,0.321,0.397,0.730,0.453,0.666
598,,0.462,0.329,0.319,0.393,0.730,0.450,0.664
599,,0.461,0.327,0.316,0.389,0.729,0.446,0.663
600,,0.460,0.324,0.314,0.386,0.729,0.443,0.661
601,,0.458,0.322,0.313,0.382,0.728,0.440,0.660
602,,0.457,0.320,0.311,0.380,0.728,0.437,0.659
603,,0.456,0.318,0.309,0.377,0.727,0.435,0.658
604,,0.455,0.316,0.308,0.375,0.727,0.433,0.657
605,,0.454,0.315,0.307,0.374,0.726,0.431,0.656
606,,0.454,0.314,0.306,0.372,0.726,0.429,0.655
607,,0.453,0.313,0.305,0.371,0.725,0.428,0.654
608,,0.453,0.312,0.304,0.369,0.725,0.427,0.654
609,,0.452,0.311,0.303,0.368,0.724,0.425,0.653
610,,0.451,0.310,0.302,0.367,0.724,0.424,0.652
611,,0.451,0.309,0.301,0.366,0.723,0.422,0.651
612,,0.450,0.308,0.300,0.365,0.723,0.421,0.650
613,,0.449,0.307,0.300,0.363,0.722,0.419,0.649
614,,0.449,0.306,0.299,0.362,0.722,0.418,0.648
615,,0.448,0.305,0.298,0.361,0.721,0.416,0.647
616,,0.448,0.303,0.297,0.359,0.721,0.414,0.646
617,,0.447,0.302,0.296,0.358,0.720,0.413,0.645
618,,0.446,0.301,0.295,0.357,0.719,0.411,0.645
619,,0.445,0.300,0.294,0.355,0.719,0.410,0.644
620,,0.445,0.299,0.293,0.354,0.718,0.408,0.643
621,,0.444,0.298,0.292,0.353,0.718,0.406,0.642
622,,0.443,0.297,0.291,0.351,0.717,0.405,0.641
623,,0.442,0.296,0.290,0.350,0.716,0.403,0.640
624,,0.442,0.294,0.289,0.349,0.716,0.402,0.639
625,,0.441,0.293,0.288,0.347,0.715,0.400,0.638
626,,0.440,0.292,0.287,0.346,0.714,0.398,0.637
627,,0.439,0.291,0.286,0.344,0.714,0.397,0.636
628,,0.438,0.290,0.284,0.343,0.713,0.395,0.635
629,,0.438,0.289,0.283,0.342,0.712,0.394,0.634
630,,0.437,0.288,0.283,0.340,0.712,0.392,0.633
631,,0.436,0.287,0.282,0.339,0.711,0.390,0.632
632,,0.435,0.286,0.280,0.338,0.711,0.389,0.631
633,,0.435,0.285,0.280,0.336,0.710,0.387,0.630
634,,0.434,0.284,0.279,0.335,0.709,0.386,0.629
635,,0.433,0.283,0.278,0.334,0.709,0.384,0.628
636,,0.432,0.282,0.277,0.332,0.708,0.383,0.627
637,,0.432,0.281,0.276,0.331,0.708,0.381,0.626
638,,0.431,0.280,0.275,0.330,0.707,0.380,0.625
639,,0.430,0.279,0.274,0.328,0.706,0.378,0.624
640,,0.429,0.278,0.273,0.327,0.706,0.377,0.623
641,,0.429,0.277,0.272,0.326,0.705,0.375,0.622
642,,0.428,0.276,0.271,0.325,0.705,0.374,0.621
643,,0.427,0.275,0.270,0.323,0.704,0.372,0.621
644,,0.426,0.274,0.269,0.322,0.703,0.371,0.620
645,,0.425,0.273,0.268,0.321,0.703,0.369,0.618
646,,0.425,0.272,0.267,0.319,0.702,0.368,0.618
647,,0.424,0.270,0.266,0.318,0.701,0.366,0.617
648,,0.423,0.269,0.265,0.317,0.700,0.365,0.616
649,,0.422,0.268,0.264,0.316,0.700,0.364,0.615
650,,0.421,0.267,0.263,0.314,0.699,0.362,0.614
651,,0.420,0.266,0.262,0.313,0.699,0.361,0.613
652,,0.420,0.265,0.261,0.312,0.698,0.359,0.612
653,,0.419,0.264,0.260,0.310,0.697,0.358,0.611
654,,0.418,0.263,0.259,0.308,0.697,0.356,0.611
655,,0.417,0.262,0.258,0.307,0.696,0.354,0.610
656,,0.416,0.260,0.257,0.305,0.696,0.352,0.608
657,,0.415,0.259,0.255,0.303,0.695,0.351,0.608
658,,0.414,0.258,0.254,0.301,0.695,0.349,0.607
659,,0.413,0.256,0.253,0.300,0.694,0.348,0.606
660,,0.412,0.255,0.252,0.298,0.694,0.346,0.605
661,,0.411,0.254,0.251,0.297,0.694,0.345,0.604
662,,0.410,0.254,0.251,0.296,0.693,0.344,0.604
663,,0.410,0.253,0.250,0.295,0.692,0.343,0.603
664,,0.409,0.252,0.249,0.295,0.692,0.342,0.602
665,,0.408,0.251,0.248,0.294,0.692,0.341,0.602
666,,0.408,0.250,0.247,0.293,0.691,0.340,0.601
667,,0.407,0.249,0.247,0.292,0.691,0.339,0.601
668,,0.407,0.249,0.246,0.291,0.690,0.338,0.600
669,,0.406,0.248,0.245,0.290,0.690,0.337,0.599
670,,0.405,0.247,0.245,0.290,0.689,0.336,0.599
671,,0.405,0.246,0.244,0.289,0.689,0.335,0.598
672,,0.404,0.246,0.243,0.288,0.689,0.334,0.598
673,,0.403,0.245,0.243,0.287,0.688,0.333,0.597
674,,0.403,0.244,0.242,0.286,0.688,0.332,0.596
675,,0.402,0.243,0.241,0.285,0.687,0.331,0.596
676,,0.401,0.242,0.240,0.284,0.687,0.330,0.595
677,,0.401,0.242,0.240,0.283,0.686,0.329,0.594
678,,0.400,0.241,0.239,0.282,0.686,0.328,0.594
679,,0.399,0.240,0.238,0.281,0.685,0.327,0.593
680,,0.399,0.239,0.237,0.280,0.685,0.326,0.592
681,,0.398,0.238,0.236,0.279,0.684,0.325,0.591
682,,0.397,0.238,0.236,0.278,0.684,0.323,0.591
683,,0.396,0.237,0.235,0.276,0.683,0.322,0.590
684,,0.396,0.236,0.234,0.275,0.683,0.321,0.589
685,,0.395,0.235,0.233,0.274,0.682,0.319,0.588
686,,0.394,0.235,0.233,0.272,0.681,0.318,0.587
687,,0.393,0.234,0.232,0.271,0.680,0.317,0.586
