Start time (UTC), 1010 
 Sky conditions, CO-SDV 
 Other notes, Rest of albedo points on separate floe no longer located. NIR images at 19 (12:32) then 20 (12:34). Kipps shortly after ASD. 
 Ship latitude, 81.30112
 Ship longitude, 0.33111
Position, 19, 20
Surface type, S, S
Surface thickness (cm), 10, 10
Notes, appear to be slightly sedimented mounds! , darkish area right under measurement area
Change in incident (%),10.0, 10.0
Wavelengths,Albedo0,Albedo1
987,0.446,0.420
988,0.442,0.417
989,0.439,0.414
990,0.436,0.411
991,0.433,0.408
992,0.430,0.405
993,0.427,0.402
994,0.424,0.399
995,0.421,0.396
996,0.419,0.393
997,0.416,0.391
998,0.413,0.388
999,0.410,0.385
1000,0.409,0.383
1001,0.406,0.381
1002,0.404,0.378
1003,0.402,0.376
1004,0.400,0.374
1005,0.398,0.371
1006,0.396,0.369
1007,0.394,0.367
1008,0.391,0.365
1009,0.389,0.363
1010,0.387,0.361
1011,0.385,0.359
1012,0.383,0.358
1013,0.381,0.356
1014,0.379,0.354
1015,0.377,0.351
1016,0.375,0.350
1017,0.373,0.348
1018,0.371,0.347
1019,0.369,0.345
1020,0.368,0.344
1021,0.366,0.342
1022,0.365,0.341
1023,0.364,0.340
1024,0.363,0.339
1025,0.362,0.338
1026,0.361,0.337
1027,0.361,0.336
1028,0.360,0.335
1029,0.360,0.335
1030,0.360,0.334
1031,0.359,0.334
1032,0.359,0.334
1033,0.359,0.334
1034,0.359,0.333
1035,0.358,0.334
1036,0.358,0.334
1037,0.359,0.334
1038,0.359,0.334
1039,0.360,0.335
1040,0.361,0.336
1041,0.362,0.337
1042,0.363,0.337
1043,0.364,0.339
1044,0.365,0.340
1045,0.366,0.341
1046,0.367,0.342
1047,0.368,0.343
1048,0.370,0.344
1049,0.372,0.345
1050,0.373,0.347
1051,0.375,0.348
1052,0.377,0.350
1053,0.379,0.352
1054,0.380,0.354
1055,0.382,0.355
1056,0.384,0.357
1057,0.386,0.359
1058,0.387,0.361
1059,0.389,0.363
1060,0.391,0.365
1061,0.394,0.368
1062,0.396,0.370
1063,0.398,0.372
1064,0.400,0.375
1065,0.402,0.377
1066,0.404,0.379
1067,0.406,0.381
1068,0.409,0.383
1069,0.411,0.385
1070,0.413,0.387
1071,0.415,0.389
1072,0.417,0.391
1073,0.419,0.393
1074,0.421,0.395
1075,0.423,0.396
1076,0.425,0.398
1077,0.427,0.400
1078,0.428,0.401
1079,0.430,0.403
1080,0.431,0.404
1081,0.433,0.406
1082,0.434,0.407
1083,0.435,0.408
1084,0.436,0.409
1085,0.437,0.410
1086,0.438,0.411
1087,0.438,0.412
1088,0.439,0.413
1089,0.440,0.413
1090,0.440,0.413
1091,0.440,0.413
1092,0.441,0.413
1093,0.441,0.413
1094,0.441,0.413
1095,0.441,0.413
1096,0.441,0.413
1097,0.441,0.413
1098,0.440,0.412
1099,0.440,0.412
1100,0.440,0.411
1101,0.439,0.411
1102,0.439,0.410
1103,0.438,0.410
1104,0.437,0.409
1105,0.437,0.409
1106,0.436,0.408
1107,0.435,0.407
1108,0.434,0.407
1109,0.433,0.406
1110,0.432,0.405
1111,0.432,0.404
1112,0.431,0.403
1113,0.430,0.402
1114,0.429,0.402
1115,0.428,0.401
1116,0.427,0.400
1117,0.426,0.399
1118,0.425,0.398
1119,0.423,0.396
1120,0.422,0.394
1121,0.420,0.393
1122,0.419,0.391
1123,0.418,0.389
1124,0.417,0.387
1125,0.416,0.386
1126,0.414,0.384
1127,0.412,0.382
1128,0.410,0.380
1129,0.407,0.378
1130,0.405,0.376
1131,0.403,0.374
1132,0.401,0.372
1133,0.399,0.371
1134,0.397,0.369
1135,0.395,0.368
1136,0.393,0.367
1137,0.391,0.366
1138,0.389,0.365
1139,0.386,0.363
1140,0.384,0.361
1141,0.383,0.360
1142,0.381,0.358
1143,0.380,0.356
1144,0.378,0.354
1145,0.376,0.352
1146,0.374,0.349
1147,0.372,0.347
1148,0.370,0.344
1149,0.367,0.341
1150,0.365,0.339
1151,0.362,0.336
1152,0.359,0.333
1153,0.356,0.329
1154,0.353,0.326
1155,0.350,0.323
1156,0.346,0.320
1157,0.343,0.318
1158,0.340,0.315
1159,0.337,0.312
1160,0.334,0.309
1161,0.330,0.307
1162,0.327,0.304
1163,0.325,0.301
1164,0.322,0.298
1165,0.319,0.295
1166,0.316,0.292
1167,0.313,0.290
1168,0.310,0.287
1169,0.307,0.284
1170,0.304,0.281
1171,0.301,0.278
1172,0.298,0.275
1173,0.295,0.272
1174,0.292,0.269
1175,0.289,0.266
1176,0.286,0.263
1177,0.283,0.260
1178,0.280,0.257
1179,0.276,0.254
1180,0.273,0.251
1181,0.270,0.248
1182,0.267,0.245
1183,0.264,0.241
1184,0.261,0.238
1185,0.258,0.235
1186,0.254,0.232
1187,0.251,0.229
1188,0.248,0.226
1189,0.245,0.224
1190,0.242,0.221
1191,0.239,0.218
1192,0.236,0.215
1193,0.233,0.213
1194,0.230,0.210
1195,0.227,0.207
1196,0.224,0.205
1197,0.221,0.203
1198,0.219,0.200
1199,0.216,0.198
1200,0.214,0.196
1201,0.211,0.193
1202,0.209,0.191
1203,0.207,0.189
1204,0.204,0.186
1205,0.202,0.184
1206,0.200,0.182
1207,0.198,0.180
1208,0.196,0.178
1209,0.194,0.176
1210,0.192,0.175
1211,0.190,0.173
1212,0.188,0.171
1213,0.186,0.169
1214,0.185,0.168
1215,0.183,0.166
1216,0.181,0.164
1217,0.180,0.163
1218,0.178,0.162
1219,0.177,0.160
1220,0.175,0.159
1221,0.174,0.158
1222,0.173,0.157
1223,0.171,0.155
1224,0.170,0.154
1225,0.169,0.153
1226,0.168,0.152
1227,0.167,0.151
1228,0.166,0.150
1229,0.165,0.149
1230,0.164,0.149
1231,0.163,0.148
1232,0.162,0.147
1233,0.161,0.146
1234,0.160,0.146
1235,0.159,0.145
1236,0.159,0.145
1237,0.158,0.144
1238,0.158,0.144
1239,0.157,0.143
1240,0.156,0.142
1241,0.156,0.142
1242,0.155,0.141
1243,0.155,0.141
1244,0.154,0.140
1245,0.154,0.140
1246,0.153,0.139
1247,0.153,0.139
1248,0.152,0.139
1249,0.152,0.138
1250,0.152,0.138
1251,0.151,0.137
1252,0.151,0.137
1253,0.151,0.137
1254,0.151,0.136
1255,0.150,0.136
1256,0.150,0.136
1257,0.150,0.136
1258,0.150,0.136
1259,0.150,0.136
1260,0.150,0.136
1261,0.150,0.136
1262,0.150,0.136
1263,0.150,0.136
1264,0.150,0.136
1265,0.150,0.136
1266,0.150,0.136
1267,0.150,0.136
1268,0.150,0.136
1269,0.150,0.136
1270,0.150,0.137
1271,0.151,0.137
1272,0.151,0.137
1273,0.151,0.137
1274,0.151,0.138
1275,0.152,0.138
1276,0.152,0.138
1277,0.152,0.138
1278,0.153,0.139
1279,0.153,0.139
1280,0.154,0.139
1281,0.155,0.140
1282,0.155,0.140
1283,0.156,0.140
1284,0.156,0.140
1285,0.157,0.141
1286,0.157,0.141
1287,0.157,0.141
1288,0.158,0.141
1289,0.158,0.141
1290,0.158,0.142
1291,0.158,0.142
1292,0.159,0.142
1293,0.159,0.142
1294,0.159,0.142
1295,0.159,0.142
1296,0.159,0.142
1297,0.159,0.142
1298,0.159,0.142
1299,0.159,0.142
1300,0.159,0.142
1301,0.159,0.142
1302,0.159,0.142
1303,0.158,0.142
1304,0.158,0.142
1305,0.158,0.142
1306,0.158,0.142
1307,0.158,0.142
1308,0.158,0.142
1309,0.158,0.142
1310,0.158,0.142
1311,0.158,0.142
1312,0.158,0.142
1313,0.157,0.142
1314,0.157,0.142
1315,0.157,0.141
1316,0.157,0.141
1317,0.157,0.141
1318,0.157,0.141
1319,0.157,0.140
1320,0.157,0.140
1321,0.156,0.140
1322,0.155,0.139
1323,0.155,0.139
1324,0.154,0.139
1325,0.154,0.139
1326,0.154,0.139
1327,0.154,0.138
1328,0.153,0.138
1329,0.153,0.138
1330,0.153,0.138
1331,0.153,0.138
1332,0.152,0.137
1333,0.152,0.137
1334,0.151,0.137
1335,0.151,0.137
1336,0.151,0.137
1337,0.150,0.136
1338,0.150,0.136
1339,0.149,0.136
1340,0.149,0.135
1341,0.148,0.135
1342,0.148,0.134
1343,0.147,0.133
1344,0.146,0.133
1345,0.146,0.133
1346,0.145,0.132
1347,0.145,0.132
1348,0.144,0.132
1349,0.143,0.132
1350,0.142,0.131
1351,0.141,0.131
1352,0.142,0.130
1353,0.143,0.129
1354,0.143,0.128
1355,0.142,0.126
1356,,0.126
1357,,0.127
1358,,0.129
1359,,0.129
1360,,0.123
1361,,
1362,,
1363,,
1364,,
1365,,
1366,,
1367,,
1368,,
1369,,
1370,,
1371,,
1372,,
1373,,
1374,,
1375,,
1376,,
1377,,
1378,,
1379,,
1380,,
1381,,
1382,,
1383,,
1384,,
1385,,
1386,,
1387,,
1388,,
1389,,
1390,,
1391,,
1392,,
1393,,
1394,,
1395,,
1396,,
1397,,
1398,,
1399,,
1400,,
1401,,
1402,,
1403,,
1404,,
1405,,
1406,,
1407,,
1408,,
1409,,
1410,,
1411,,
1412,,
1413,,
1414,,
1415,,
1416,,
1417,,
1418,,
1419,,
1420,,
1421,,
1422,,
1423,,
1424,,
1425,,
1426,,
1427,,
1428,,
1429,,
1430,,
1431,,
1432,,
1433,,
1434,,
1435,,
1436,,
1437,,
1438,,
1439,,
1440,,
1441,,
1442,,
1443,0.019,
1444,0.020,
1445,0.020,
1446,0.020,0.019
1447,0.020,0.018
1448,0.019,0.017
1449,0.019,0.016
1450,0.019,0.015
1451,0.019,0.014
1452,0.019,0.013
1453,0.019,0.013
1454,0.019,0.014
1455,0.018,0.014
1456,0.017,0.014
1457,0.016,0.013
1458,0.015,0.012
1459,0.014,0.012
1460,0.013,0.012
1461,0.012,0.012
1462,0.012,0.013
1463,0.011,0.013
1464,0.011,0.013
1465,0.011,0.012
1466,0.011,0.012
1467,0.011,0.013
1468,0.010,0.012
1469,0.010,0.012
1470,0.010,0.011
1471,0.009,0.011
1472,0.009,0.011
1473,0.009,0.011
1474,0.009,0.012
1475,0.008,0.012
1476,0.008,0.012
1477,0.008,0.012
1478,0.008,0.012
1479,0.007,0.011
1480,0.007,0.011
1481,0.007,0.011
1482,0.008,0.011
1483,0.008,0.011
1484,0.008,0.012
1485,0.008,0.012
1486,0.008,0.013
1487,0.008,0.013
1488,0.008,0.013
1489,0.008,0.012
1490,0.008,0.012
1491,0.008,0.012
1492,0.008,0.012
1493,0.008,0.012
1494,0.009,0.012
1495,0.009,0.012
1496,0.009,0.012
1497,0.009,0.012
1498,0.009,0.012
