Start time (UTC), 1229 
 Sky conditions, sunny to foggy/sdv around 25 to nsdv at 40 
 Other notes, Melinda & Felix. Ponds refrozen with scant dusting of snow; SDV.  
 Ship latitude, 87.7816
 Ship longitude, 104.49022
Position,  0,  5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60
Surface type,               s,               s,               s,               s,               s, frozenover pond,               s,               p,               p,               s,               s,               s,               s
Surface thickness (cm),  6,  6,  5,  5,  6,  0,  6, 37, 37,  7, 10,  5,  8
Notes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Change in incident (%),30.0, 20.0, 20.0, 30.0, 10.0, 30.0, 20.0, 20.0, 10.0, 10.0, 0.0, 0.0, 10.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7,Albedo8,Albedo9,Albedo10,Albedo11,Albedo12
551,,,,,,,0.904,0.229,0.219,0.853,0.874,0.932,0.906
552,,,,,,,0.904,0.229,0.219,0.853,0.874,0.932,0.906
553,,,,,,,0.904,0.228,0.218,0.853,0.874,0.932,0.906
554,,,,,,,0.904,0.228,0.218,0.853,0.874,0.932,0.906
555,,,,,,,0.905,0.228,0.218,0.853,0.874,0.932,0.906
556,,,,,,,0.904,0.227,0.217,0.853,0.874,0.932,0.906
557,,,,,,,0.904,0.227,0.217,0.853,0.874,0.932,0.906
558,,,,,,,0.904,0.227,0.216,0.853,0.874,0.932,0.906
559,,,,,,,0.904,0.226,0.216,0.853,0.874,0.932,0.906
560,,,,,,,0.904,0.226,0.216,0.853,0.874,0.932,0.906
561,,,,,,,0.904,0.226,0.215,0.853,0.874,0.933,0.906
562,,,,,,,0.905,0.225,0.215,0.853,0.874,0.933,0.906
563,,,,,,,0.905,0.225,0.215,0.853,0.874,0.933,0.906
564,,,,,,,0.905,0.224,0.214,0.853,0.874,0.933,0.906
565,,,,,,,0.905,0.224,0.214,0.853,0.873,0.933,0.906
566,,,,,,,0.904,0.224,0.213,0.853,0.873,0.933,0.906
567,,,,,,,0.904,0.223,0.213,0.853,0.873,0.933,0.906
568,,,,,,,0.904,0.223,0.212,0.853,0.873,0.933,0.906
569,,,,,,,0.904,0.222,0.212,0.853,0.873,0.933,0.906
570,,,,,,,0.904,0.222,0.211,0.852,0.873,0.933,0.906
571,,,,,,,0.904,0.221,0.210,0.852,0.873,0.933,0.906
572,,,,,,,0.904,0.220,0.210,0.853,0.873,0.933,0.906
573,,,,,,,0.904,0.220,0.209,0.852,0.873,0.933,0.906
574,,,,,,,0.904,0.219,0.208,0.852,0.873,0.933,0.906
575,,,,,,,0.904,0.218,0.208,0.852,0.873,0.933,0.906
576,,,,,,,0.904,0.218,0.207,0.852,0.872,0.934,0.906
577,,,,,,,0.904,0.217,0.206,0.852,0.872,0.934,0.906
578,,,,,,,0.905,0.216,0.205,0.852,0.872,0.934,0.906
579,,,,,,,0.905,0.215,0.204,0.852,0.872,0.934,0.906
580,,,,,,,0.905,0.215,0.203,0.852,0.872,0.934,0.906
581,,,,,,,0.905,0.214,0.202,0.852,0.873,0.934,0.906
582,,,,,,,0.905,0.213,0.201,0.852,0.873,0.935,0.907
583,,,,,,,0.905,0.212,0.200,0.852,0.873,0.935,0.907
584,,,,,,,0.905,0.210,0.199,0.852,0.872,0.935,0.907
585,,,,,,,0.905,0.209,0.198,0.852,0.872,0.935,0.907
586,,,,,,,0.905,0.208,0.197,0.852,0.872,0.935,0.907
587,,,,,,,0.905,0.207,0.195,0.852,0.872,0.935,0.907
