Start time (UTC), 0122 
 Sky conditions, CO-SDNV mostly, occasionally drizzly 
 Other notes, 24-hr sampling period. Reunion Stakes (RS) visited every ~3 hrs. (1) pond @ intersection of stakes 203&205. (2) raised area of SSL@ intersection of stakes 203&206. (3) sediment mounds @intersection of stakes 203&207 (4) part raised SSL- some uneven surface @ intersection of stakes 203&211 
(5) stake 205 (6) vertical grains & crack @ stake 206  (7) pond @ stake 207  (8) stake 211, half uneven surface & level SSL.
Stern (STERN) visited every ~3 hrs. (1 A) clean area from July 5, (1B)  shoveled area from July 5. ~1cm standing water. (2) pond w very holey bottom (3) other end of same pond. w smoother bottom. (4) Dark pond. measurement centered over large white (previously crack). (5A)  clean level bare (SSL) ice on slope (5B) - shoveled off to observe SSL evolution. (6) very blue pond (7) very large tooth-like grains (old drained pond?) at edge of pond 6
ROV transect visited every ~6 hrs (with ROV transmittance & UAV albedo). 
 Ship latitude, 81.4458
 Ship longitude, 1.53678
Position,  3,  2, 1B, 1A,  4, 5A, 5B,  6
Surface type,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Surface thickness (cm),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Notes, Ian (ASD) Melinda (notes). Some locations shif...,                                               NaN,                                shoveled snow/pond,                              level untouched snow,                               pond w/ white crack,                                    untouched snow,                                         shoveled ,                                lovely little pond
Change in incident (%),0.0, 10.0, 10.0, 0.0, 10.0, 10.0, 0.0, 0.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7
613,0.298,0.319,0.501,0.774,0.366,0.755,0.717,0.429
614,0.297,0.318,0.500,0.773,0.364,0.755,0.716,0.427
615,0.296,0.317,0.500,0.773,0.363,0.754,0.716,0.425
616,0.294,0.315,0.499,0.773,0.362,0.753,0.715,0.424
617,0.293,0.314,0.498,0.772,0.360,0.752,0.714,0.422
618,0.292,0.313,0.497,0.772,0.359,0.752,0.713,0.421
619,0.291,0.312,0.497,0.771,0.358,0.752,0.713,0.419
620,0.290,0.311,0.496,0.771,0.356,0.751,0.712,0.418
621,0.289,0.310,0.495,0.771,0.355,0.750,0.711,0.416
622,0.288,0.309,0.494,0.770,0.353,0.750,0.710,0.414
623,0.287,0.307,0.494,0.770,0.352,0.749,0.709,0.413
624,0.286,0.306,0.493,0.770,0.351,0.748,0.708,0.411
625,0.284,0.305,0.492,0.769,0.350,0.748,0.708,0.409
626,0.283,0.304,0.492,0.769,0.348,0.747,0.707,0.408
627,0.282,0.303,0.491,0.768,0.347,0.746,0.706,0.406
628,0.281,0.301,0.490,0.768,0.345,0.746,0.705,0.405
629,0.280,0.300,0.489,0.767,0.344,0.745,0.704,0.403
630,0.279,0.299,0.488,0.767,0.343,0.744,0.704,0.402
631,0.278,0.298,0.488,0.767,0.341,0.744,0.703,0.400
632,0.277,0.297,0.487,0.766,0.340,0.743,0.702,0.398
633,0.276,0.296,0.486,0.766,0.339,0.742,0.701,0.397
634,0.275,0.295,0.485,0.765,0.337,0.742,0.700,0.395
635,0.274,0.294,0.484,0.765,0.336,0.741,0.700,0.394
636,0.273,0.293,0.484,0.764,0.335,0.741,0.699,0.392
637,0.272,0.292,0.483,0.764,0.334,0.740,0.698,0.391
638,0.271,0.291,0.482,0.763,0.333,0.740,0.697,0.390
639,0.270,0.290,0.482,0.763,0.331,0.739,0.697,0.388
640,0.268,0.289,0.481,0.763,0.330,0.738,0.696,0.387
641,0.267,0.288,0.480,0.762,0.329,0.738,0.695,0.385
642,0.267,0.287,0.479,0.762,0.328,0.737,0.694,0.384
643,0.266,0.286,0.479,0.761,0.326,0.737,0.694,0.382
644,0.265,0.285,0.478,0.761,0.325,0.736,0.693,0.381
645,0.264,0.284,0.477,0.760,0.324,0.735,0.692,0.379
646,0.263,0.283,0.476,0.760,0.323,0.735,0.691,0.378
647,0.261,0.282,0.475,0.759,0.322,0.734,0.690,0.377
648,0.260,0.281,0.475,0.759,0.321,0.734,0.690,0.375
649,0.260,0.280,0.474,0.758,0.319,0.733,0.689,0.374
650,0.259,0.279,0.473,0.758,0.318,0.732,0.688,0.372
651,0.257,0.278,0.472,0.757,0.317,0.732,0.688,0.371
652,0.256,0.277,0.472,0.757,0.315,0.731,0.687,0.369
653,0.255,0.276,0.471,0.757,0.314,0.731,0.687,0.368
654,0.254,0.275,0.470,0.756,0.313,0.730,0.686,0.367
655,0.253,0.273,0.469,0.756,0.311,0.730,0.685,0.365
656,0.252,0.272,0.468,0.755,0.309,0.729,0.685,0.363
657,0.251,0.271,0.467,0.755,0.308,0.729,0.684,0.362
658,0.250,0.269,0.466,0.754,0.306,0.729,0.683,0.360
659,0.248,0.268,0.465,0.754,0.305,0.728,0.683,0.358
660,0.247,0.267,0.465,0.753,0.304,0.728,0.682,0.357
661,0.246,0.267,0.464,0.753,0.303,0.727,0.682,0.356
662,0.246,0.266,0.463,0.753,0.302,0.727,0.681,0.355
